,Hashtag,Count
7081,centralnervoussystemdrugs,13
671,uae,13
5515,oldandnew,12
1835,googlealerts,12
1731,nipain14,12
3454,mentalhealthawareness,12
865,mssucks,12
1878,ベトナムあるある,12
1881,宴会あるある,12
5110,psychiatric,12
2132,pots,12
1924,fibromialgia,12
2074,statistics,12
1985,palliativecare,12
185,physicians,12
5502,accpam19,12
1628,dentist,12
537,wordpress,12
3709,kratom,12
1551,spine,12
1404,stockaction,12
1453,arthroplasty,12
688,escitalopram,12
29,law,12
526,regulatory,12
1593,bcsm,12
4390,netflix,12
2424,pharmacovigilance,12
3840,dependence,12
345,mentalillness,12
2075,marketresearchreport,11
2110,system,11
2076,demand,11
853,dental,11
7876,soapam2021,11
1561,cfsme,11
1611,toxicology,11
761,oncology,11
52,weightloss,11
1029,facepaininfo,11
2462,oxycodone,11
1030,archives,11
2982,pwid,11
1420,buyelavil,11
2960,sicknotweak,11
1410,headache,11
2327,evidence,11
2601,suicidal,11
673,ksa,11
2611,lupuschat,11
867,it,11
200,wellness,11
4161,freeaccess,11
5822,opiods,11
270,india,11
4130,hncsm,11
3932,icymi,11
195,psychology,11
194,video,11
3780,heds,11
96,money,11
6361,orthotwitter,10
2568,prescriptiondrugs,10
638,offtopic,10
960,ibuprofen,10
1444,pj,10
469,weight,10
2619,osteoarthritis,10
2538,acg2016,10
4777,delirium,10
322,drugstore,10
28,x2019,10
4679,genocide,10
4387,tievidence,10
319,aldactone,10
4728,cavpack,10
3137,mentalhealthmatters,10
1062,mh,10
3138,dff,10
1495,paracetamol,10
1642,can,10
4260,thc,10
4298,acetaminophen,10
672,saudi,10
241,effects,10
1509,lifesciences,10
3229,cannabinoids,10
3139,dfflyrica,10
51,diet,9
702,support,9
5871,medstudenttwitter,9
3729,lyricagenericpregabalin,9
3728,lyrica150mg,9
513,039,9
3727,lyricamedication,9
1653,glaucoma,9
509,migraines,9
3726,lyricageneric,9
4066,usfda,9
2658,hip,9
3661,cnam,9
6420,api,9
496,in,9
1138,dysautonomia,9
1118,classaction,9
687,cipralex,9
5839,breathing,9
3592,thismorning,9
674,bhr,9
169,doctor,9
1980,venlafaxine,9
1797,placebo,9
1858,diazepam,9
720,fitness,9
2840,opiates,9
5956,painkills,9
2067,myalgice,9
2084,mhra,9
4388,drugevidence,9
1942,bmj,9
1365,medicalresearch,9
1931,prescriptions,9
1736,ehlersdanlos,9
2253,pallonc,9
2325,spinalcordinjury,9
309,fampractice,9
253,nolvadex,9
669,b3tha,9
670,egypt,9
315,zyprexa,9
3333,dementia,9
4239,cat,9
2964,gppharmacists,9
5212,veterinary,9
3558,musclepain,9
3118,shareourpain,9
445,8211,9
3351,lgbtsteminar18,9
914,world,9
2943,analgesia,9
431,clinical,9
2846,overdoseaware2017,9
3061,bbcnews,9
384,financial,9
157,nursing,9
