,Hashtag,Count
5321,depressionisreal,3
773,wideawake,3
1289,nclex,3
4283,anaesthesia,3
5869,workerscompensationclaims,3
4292,alzheimer,3
794,biopharma,3
5863,chiropractic,3
4984,goldenretriever,3
1282,leeds,3
1281,atm,3
4982,servicedog,3
4979,meshinjured,3
1279,hotflashes,3
4779,adayinthelifeofageriatrician,3
4299,diclofenac,3
4300,lidocaine,3
4264,maga,3
4249,sedatives,3
913,getglue,3
1044,neurosurgery,3
4201,psychotherapy,3
5271,homeopathycanhelp,3
129,pr,3
921,million,3
4500,cptsd,3
5039,california,3
1057,hiring,3
5516,gabapentinoidmisuse,3
124,wsj,3
4495,askyourpharmacist,3
5025,cipla,3
796,dailyadvantage,3
5923,copd,3
5015,stocktwits,3
5920,westnsrevisionpoll,3
1054,nervedamage,3
5514,trump,3
4217,pregabalincapsules,3
5918,humanrightsviolations,3
159,savella,3
5315,untreated,3
768,dysphagia,3
1311,alcoholics,3
1175,helpme,3
937,glaxo,3
4478,whatdoyoutake,3
1036,vicodin,3
4975,behavior,3
5846,rescuedog,3
1207,healthinfo,3
4348,stroke,3
979,buspar,3
1245,dilantin,3
5448,pedpc,3
5445,sccmcppjc,3
4914,myositis,3
784,tv,3
1212,headachemigraine,3
4844,ophthotwitter,3
783,pharmalive,3
5390,vetgirl,3
1241,curems,3
118,legal,3
170,vitamin,3
1005,teamspooniesunite,3
5430,everymindmatters,3
4357,licadd,3
1235,pancreatitis,3
1221,cochraneevidence,3
782,administration,3
4875,mascc19,3
4375,urosome,3
1222,lowerbackpain,3
4383,mondaythoughts,3
4415,tegretol,3
4418,controlleddrug,3
1251,pissed,3
214,discount,3
5487,riat,3
7943,kai,3
7944,superfanfriday,3
5486,stard,3
5485,patientengagement,3
4961,greed,3
1270,prc7,3
842,rcpsychic12,3
7946,iwnews,3
7947,iow,3
961,co,3
213,parkinson,3
4337,torrentpharma,3
964,trials,3
116,mhsm,3
4325,crohns,3
4949,paindocs,3
5356,publix,3
166,kamloops,3
5361,zshq,3
123,yoga,3
8116,eringilmer,3
5371,gabapoison,3
4432,movementdisorders,3
4733,pwd,3
204,45,3
5705,agenparl,3
5955,quitrobbingohio,3
7894,후즈팬_1주년_축하해,3
7895,whosfan_with_tomorrowxtogether,3
1083,healthy,3
4699,hospitalist,3
4704,endoverdose,3
5681,theirishman,3
190,nurse,3
1374,governmentfilingsnews,3
237,m,3
5086,topiramate,3
4174,radiotherapy,3
1119,phantompain,3
875,goodluck,3
1078,maroc,3
7893,whosfan_1st_anniversary,3
8078,icantsleepbecause,3
755,cdnhealth,3
5215,vetmed,3
5217,tinnitus,3
4658,america,3
5220,nichd,3
5221,nichdimpact,3
762,exploratory,3
5222,deathbybrexit,3
4112,polydrug,3
4589,nmp,3
4568,healthylife,3
1129,lawyer,3
192,treatments,3
4124,gbdoc,3
246,fringe,3
4563,dependency,3
5628,overmedicated,3
125,iphone,3
1382,dangers,3
4520,niceassociates,3
1335,class,3
8205,readystock,3
1063,aaaai,3
5170,tipsfornewdocs,3
4086,wednesdaywisdom,3
4638,generalpractice,3
1067,fibrofog,3
1105,sougofollow,3
1104,openfollow,3
1384,friends,3
1370,nigeria,3
1077,panic,3
5547,informedconsent,3
801,headlines,3
4620,zolpidem,3
3070,entirely,2
2857,placeboeffect,2
4794,inflammation,2
6699,sutent,2
4864,livedexperience,2
3077,kineton,2
4640,itakemedsformymentalhealth,2
6867,doglovers,2
6717,methylcobalamin,2
5481,humpday,2
5419,freetheweed,2
2820,nexus2017,2
4870,shoulder,2
6698,213313,2
3074,hypnotherapy,2
3100,mundo,2
5588,plantsnotpills,2
5482,neuroscientist,2
2856,asm17bris,2
430,article,2
4788,kittens,2
482,chemcentralj,2
4881,lifeshouldnthurt,2
6697,203469,2
3106,safebridgeofhelp,2
4789,catstagram,2
4635,notjustopioids,2
5451,cure,2
172,tablets,2
4651,geriatric,2
472,msnbc,2
2819,fad,2
3088,victorialive,2
4827,medicalgaslighting,2
2835,alternativemedicine,2
2861,plp,2
476,ab,2
4832,diplopia,2
2814,physicaltherapy,2
4643,melanomadiary,2
4826,scholaralerts,2
4823,mentalhealthawarenessmonth,2
4814,paradise,2
4851,opiophobia,2
5475,multimodal,2
471,fox,2
3101,researchhighlight,2
3084,bbchealth,2
6700,021938,2
4809,fuckmigraines,2
2847,timetoact,2
3093,grafittihighway,2
5600,telehealth,2
4858,msl,2
5469,neurembergcode,2
4859,medicalaffairs,2
5470,anes19,2
6869,cirrhosis,2
6844,mexiletine,2
2862,neuroplasticity,2
457,rgp,2
455,vets,2
4712,didyouknow,2
2940,ripperstreet,2
5507,mentally,2
2936,add,2
3018,learntogether,2
4755,phd,2
4883,journal,2
4719,infections,2
3019,douleur,2
5506,physically,2
2917,belfastbuds,2
3023,onhws,2
177,with,2
4766,apnapsychopharm,2
4767,opioidoverdose,2
6752,90,2
130,brand,2
6829,inhumane,2
5529,snp,2
6771,gabapentin_600_mg,2
5521,pregabalinmarket,2
5520,market,2
2991,duh,2
2994,data,2
2970,mmsm,2
2965,virus,2
443,cttfc,2
6755,mumbai,2
5531,prazosin,2
2962,mdbad,2
440,body,2
2956,drugsdebate,2
6758,clinicalpain,2
454,cf,2
5536,gpcpd,2
2909,drugreaction,2
4705,socialprescribing,2
5483,painmedicines,2
3063,over50s,2
4683,anxietyandme,2
3056,who,2
2887,leadingbydesign,2
3058,news_today,2
6723,flashfacts,2
2989,drugdelivery,2
69,62,2
5570,microscopy,2
6729,journalanesthesiology,2
3064,healthyliving,2
6722,lovehowyoulearn,2
5576,gabapentine,2
4669,aanam2019,2
5579,addictovigilance,2
3069,wellesbourne,2
5484,analgesicdevelopment,2
3055,risks,2
6839,hmp,2
2905,babylonhealth,2
73,migrainessuck,2
5496,tylenoltakebackday,2
2902,edsi,2
3031,editorspick,2
3032,painresearchforum,2
3034,victoria,2
2901,malformations,2
4774,anticholinergic,2
3039,auneuroreviews,2
180,limited,2
5491,ofa,2
5553,keto,2
176,agreement,2
3049,dubai,2
4688,trauma,2
2895,mri,2
2891,nervous,2
6019,medicalmalpractice,2
5374,chronicallyill,2
5407,fantasy,2
5248,fightback,2
2500,drugdependence,2
2499,teinteresasefh,2
5255,nipclub,2
5254,tca,2
5085,acamprosate,2
2489,wca2016,2
2485,cgemsscytoaxaca,2
7125,knowledgesummaryimpact,2
2473,wellbeing,2
5251,hepaticencephalopathy,2
7129,bulgingdisc,2
5098,elpaso,2
7130,fedup,2
5246,chronicmigraine,2
2461,music,2
2460,indiemusic,2
5245,holisticapproach,2
5244,homeopath,2
5243,homeopathicremedies,2
7141,multiplemyeloma,2
5097,ineedmymedsmarianne,2
48,8217,2
2508,work,2
2512,iaspcongress2016,2
7094,accpam20,2
2517,erowid,2
7070,chest2020,2
5034,fdaapproves,2
5048,lunch,2
2546,mayocli,2
5282,derry,2
5057,beware,2
5072,cmht,2
2543,ai,2
2541,ruggerorespigo,2
5263,aaroncarter,2
5262,facilitiesmgmt,2
5261,transversemyelitis,2
65,pfizernews,2
5076,lupin,2
5260,wehavems,2
2526,worldmentalhealthday,2
2524,safetreatmentscheme,2
2523,lutonsafetreatmentscheme,2
2522,luton,2
5257,threeleggedpets,2
5256,tripawd,2
2446,menopausal,2
2444,farxiga,2
7065,ordergabapentinonline,2
2357,oral,2
5133,alabama,2
5142,tizanidine,2
548,happybirthday,2
7197,behavioralmedchat,2
5204,maw2019,2
2366,asm16nz,2
5203,migraineawarenessweek,2
7201,virtualevent,2
5154,stat,2
2359,300,2
2356,two,2
5241,safescript,2
2355,bioequivalence,2
5194,lsd,2
5189,pill,2
5162,156,2
7222,rpicibic,2
5165,30,2
2328,asra_ra16,2
7231,niaaa50,2
5180,endoverdoseirl,2
7233,edtwt,2
2375,ccgs,2
7194,surviveorthriveopioids,2
7193,deniedpainmeds,2
145,mylan,2
2443,afinitor,2
2442,hospitalsdeepam,2
5238,gtto,2
5104,mksap,2
7148,fireworks,2
2431,restlesslegs,2
7157,cancerresearch,2
2425,vetstudent,2
7160,pongo,2
5108,fdaapproval,2
2414,schizophrenia,2
543,fibrowarrior,2
2408,cardiology,2
5125,substanceuse,2
5126,adderall,2
5127,ccfhm19,2
2397,paindrug,2
5216,brexshit,2
547,positive,2
2391,paginanuova,2
7184,panicdemic,2
5298,caudaequinasyndrome,2
5030,certain,2
4886,gabapentinisbadshit,2
6954,salemhospital,2
2737,drugmovies,2
2732,chronicnervepain,2
2731,toxic,2
2728,sobriety,2
5377,successstories,2
2726,depacon,2
2725,aptiom,2
2722,lyrics,2
4924,sotired,2
6953,northshoremed,2
6696,iclusig,2
6965,bdnmb,2
6956,neglect,2
6957,incompetence,2
6958,malpractice,2
2713,alzain,2
2709,arts,2
4927,sapcasm,2
2706,contemporaryart,2
5366,flareup,2
5364,petparents,2
4937,rescue,2
2741,lessenpain,2
2742,bowelsyndrome,2
6930,icpe20,2
5379,drforesttennant,2
2785,nope,2
2784,basemspine,2
2783,cpcdialog,2
2782,gymchalo,2
5403,badpharma,2
4890,avm,2
4891,on,2
4897,oldage,2
2774,choosept,2
6916,atorvastatin,2
4900,controlledsubstance,2
2772,drugfree,2
5392,lifesavingpainmeds,2
488,palmersgreen,2
2761,paramedics,2
4910,icrs19,2
5384,betablockers,2
2757,medicalreversal,2
2755,sciaticapain,2
2753,leap,2
5382,cervicalmyelopathy,2
2703,hpm17,2
2698,yellowcard,2
5303,empathy,2
2586,suicides,2
7037,chronicpelvicpain,2
5005,irad,2
2598,acaai16,2
5316,undertreated,2
2595,spasms,2
2594,polygraph,2
2591,florida,2
7045,m4a,2
7046,neurologist,2
2588,polygraphs,2
7053,bidenharris2020,2
4950,gabaanalogue,2
5009,repost,2
2574,model,2
2572,syndrome,2
2571,critprn,2
2570,accpam16,2
5012,ico,2
519,uc,2
2566,anes16,2
5018,risingpharmaceuticals,2
7060,ennisporch,2
2604,asrapain16,2
2606,hand,2
2617,vote,2
2618,pharmachoice,2
6982,thm,2
4958,lka,2
5346,withdrawalsymptoms,2
2676,beaware,2
2675,sedatedsociety,2
2673,badmedicine,2
2665,why,2
5339,greyhounds,2
503,twitter,2
4969,mastectomy,2
4972,astrocyte,2
4978,psychotropic,2
2652,metaanalysis,2
7005,asia2020online,2
7006,scirehab,2
4983,medicalalert,2
4988,benzodiazapines,2
7019,pet,2
2626,owensmith,2
4991,opioidswork,2
4992,valacyclovir,2
3108,britaintoday,2
412,footcare,2
6688,lockdown,2
4259,cannabisoils,2
4241,feelbetter,2
4242,thenewvalium,2
6234,alcoholwithdrawal,2
3771,x27,2
4243,clofarabine,2
6239,badbehavior,2
4244,210283,2
4245,octreotide,2
4246,204669,2
4247,205321,2
3748,antihyperalgesics,2
3786,digitalhealth,2
3733,now,2
6270,pallicovid,2
328,boerse,2
5874,opioidnews,2
3721,hcapproves,2
3720,newnocalert,2
4281,feature,2
5870,ti12daysebm,2
6281,pharmacy2u,2
3710,loperamide,2
5909,rlsfoundation,2
230,isrctn,2
4200,aftereffects,2
3825,ssris,2
3850,precautions,2
3844,itsoknottobeok,2
4204,sedation,2
3838,buspirone,2
3837,anxietydisorder,2
3836,ankylosingspondylitis,2
6194,rarediseaseday,2
6195,gmb,2
6196,parkinsons,2
4207,cp,2
4209,rehab,2
110,merck,2
6202,isfmmembermonday,2
4211,thursdaythoughts,2
6206,dermtwitter,2
6208,neonates,2
3808,headaches,2
3802,ama,2
3794,mascc18,2
5919,ivdd,2
6227,pubmed,2
3789,napainschool,2
333,bc,2
6289,prayers,2
3698,nerveblocks,2
3615,painmed2018,2
6335,puppy,2
6339,god,2
6340,saturdaythoughts,2
3630,illicitfentanyl,2
3625,dontpunishpain,2
5837,profession,2
4328,gastroparesis,2
5832,psychiatricnursepractitioner,2
6350,pharmtwitter,2
5831,psychiatryresident,2
3612,addpsych2018,2
3697,care2,2
4335,diarrhea,2
4336,stocksinnews,2
98,kaiser,2
3598,asraworld18,2
3596,scottpurdy,2
3595,painkillersturnedmegay,2
3593,gay,2
6377,beagle,2
3584,lgbtq,2
6382,digital,2
3638,success,2
3639,tapna2018,2
6334,205410,2
6333,hemangeol,2
3689,cerebralpalsy,2
4294,indomethacin,2
3687,newindicationnotification,2
3686,dn4,2
5852,panicattacks,2
6306,isolation,2
6308,sarscov2,2
3673,c,2
6313,aloxi,2
6314,022233,2
6316,040760,2
6317,211889,2
3663,assetmanagers,2
3662,12,2
3659,opioidwatch,2
5841,warnings,2
3649,asm18syd,2
6330,balversa,2
6331,212018,2
6332,022544,2
4322,kuna,2
3855,oops,2
5930,youwantmesedated,2
4634,hulu,2
3982,headachetipoftheday,2
4004,cmt,2
272,bcjobs,2
4000,fmrevolution,2
4105,asra,2
3998,gapsych2018,2
4107,finland,2
6078,rpg,2
3989,spacedout,2
3984,nopainkillers,2
6085,respiratorydepression,2
3978,toxtuesday,2
4007,antiopioid,2
6090,1in10,2
3972,medicalxpress,2
3966,thepaincoach,2
6099,prematureejaculation,2
6102,peripheralnervepain,2
4109,rpnw,2
6103,100daysofcode,2
5994,gabahysteria,2
4113,rxpsychology,2
3959,niagarafalls,2
4005,hnpp,2
6066,mcnett,2
5935,lowdosenaltrexone,2
6039,rip,2
4080,advocate,2
4068,substances,2
6024,ransomware,2
4085,wednesdaymotivation,2
6029,appetite,2
263,europe,2
6009,coventrywc,2
265,manager,2
4088,paws,2
4091,chewy,2
4042,stnproject,2
4021,rethink,2
4092,rimadyl,2
6006,catchats,2
6005,vmx2020,2
6004,367,2
6003,ims,2
4029,nurses,2
6002,ourmenopauseworld,2
4099,ecdd41,2
269,hyderabad,2
6055,anewscript,2
3958,mfoa,2
3957,mfoa2018,2
5987,toothache,2
3880,medtip,2
3887,specialtypharmacy,2
6156,lumizyme,2
3885,bbcpanorama,2
6157,125291,2
6158,montelukast,2
4177,paediatric,2
4184,ashp18,2
4185,ashpem,2
6159,213471,2
3881,keeplearning,2
6160,211593,2
3952,ottawacancer,2
3875,legionella,2
3870,selfie,2
3869,sleepingpill,2
4188,falls,2
3866,numsas,2
6170,assets,2
4189,apsaadl2018,2
6171,facilities,2
4191,nap,2
4193,winter,2
3890,truth,2
3891,neurospeak,2
3892,uksupremecourt,2
6152,fibromyalgiasucks,2
3945,ivlido,2
3943,fip2018,2
3942,fipcongress,2
4133,azelaic,2
4134,208724,2
6118,lol,2
4135,gamifant,2
3935,stopthedeaths,2
4136,761107,2
6126,travel,2
297,what,2
4137,210432,2
3914,cushion,2
4140,ncr,2
5959,jmigjc,2
4160,ambulance,2
3905,fuckfibromyalgia,2
111,doj,2
6149,rocksolid,2
6150,cnamconference,2
5946,trending,2
6387,stenosis,2
4338,alkemlabs,2
4339,zyduswellness,2
3244,alert,2
403,brk,2
4507,clinicians,2
3263,neveragain,2
3261,nepan17,2
4508,mdedge,2
4510,gppharmacist,2
4513,adrs,2
3248,justnow,2
3247,justin,2
3246,cadilahealth,2
5698,papasadvent,2
3269,damage,2
3234,allirelandpain,2
3233,ddd,2
3227,legalizeit,2
408,stellateganglionblocks,2
6619,iol,2
3220,rpic,2
198,patriot,2
4527,jama,2
4532,msk,2
3208,uspoli,2
3268,severe,2
3271,opiat,2
3567,academicdetailing,2
4494,211371,2
4492,209664,2
3331,fibrosucks,2
3328,goodrx,2
3325,unitedpaincoalition,2
3324,crisis,2
6549,apireforms,2
3321,worldnews,2
4493,zulresso,2
3317,newsusa,2
6554,eraedta20,2
3312,lovemypharmacy,2
5707,educazione,2
3309,disorders,2
3306,factcheck,2
4497,clinicalupdates,2
6569,alprazolam,2
3292,sore,2
3286,joulepowered,2
3284,livepdnation,2
5709,scienzaetecnologia,2
6579,dexamethasone,2
5708,salute,2
197,leagle,2
5675,srma,2
409,midcarpalinstability,2
4605,suffolknhs,2
3160,rcgpac,2
6662,chromatography,2
4580,nursinghomes,2
5643,infographic,2
6665,pharmacyphun,2
5641,trileptal,2
5638,antiepilepticdrugs,2
3142,hernia,2
4598,epidemiology,2
5629,aodhealth,2
4616,circatrcgp,2
6637,lorazepam,2
189,medic,2
6677,newsnight,2
6679,scotland,2
4625,cannabinoid,2
6682,bekind,2
6683,prenatal,2
81,pharmaindustrynews,2
4626,stents,2
5611,mondaymorning,2
3121,opaad,2
5652,ajvr,2
413,podiatry,2
3167,clusterheadaches,2
126,stupidcancer,2
3199,zapain,2
3197,rsds,2
4549,aprilfools,2
6640,paincarecrisis,2
866,sorry,2
193,classified,2
6644,adversesideeffects,2
3189,journorequest,2
4073,therapy,2
5670,kidneydisease,2
3186,spanza17,2
6646,crimesagainsthumanity,2
4564,prescriptionmeds,2
5661,cattravel,2
5660,catbehavior,2
5659,felineanxiety,2
3174,rcemasc,2
3172,fracture,2
5658,catanxiety,2
6654,showusyourmeds,2
3168,nerveinjury,2
392,legs,2
6542,pharmaceuticaldistributor,2
3338,scripsnow,2
6442,depressed,2
4362,narcotic,2
357,negative,2
5804,addmedicationtoamovie,2
3504,legpain,2
3502,serotonin,2
4376,joinin,2
5794,tha,2
360,nano_bio,2
6437,pathophysiology,2
362,patience,2
3485,bula,2
4400,pregabalina,2
6446,cardiomyopathy,2
4391,thearchers,2
363,cocktail,2
3479,mesymptoms,2
4392,dontmix,2
3472,antihistamines,2
4393,classcdrugs,2
3469,purdue,2
5791,workcompwire,2
4399,drogas,2
3514,abstract,2
4359,longisland,2
4358,alpha,2
3520,crpsawareness,2
6399,12panelnow,2
5829,psychiatryeducationforum,2
5828,winnipeg,2
6401,drugtest,2
3555,qol,2
3554,freewifi,2
354,autoimmune,2
6402,worksafe,2
5821,informedconsumers,2
6408,aspirin,2
3543,nystagmus,2
3539,商業,2
4352,bernie,2
4353,pelvicmesh,2
3529,donoharm,2
97,frankguillen,2
3525,anxietydisorders,2
5817,lungs,2
3524,keeptalkingmh,2
6423,socialdistancing,2
94,chemobrain,2
3460,patentlaw,2
3450,naplex,2
6540,mortality,2
378,mdchat,2
4454,aapm2019,2
202,press,2
4469,friday,2
3391,forbes,2
6507,heiner,2
3389,opiodcrisis,2
199,ledger,2
3382,nottodaysatan,2
377,tm,2
6514,diversion,2
379,rnchat,2
4406,naltrexone,2
6521,aedregistry,2
5718,intoainews,2
3368,sentence,2
4485,pharmacytechnician,2
5714,tporation,2
4487,customersupport,2
4488,intelligenthealthcare,2
3348,physician,2
4490,gleolan,2
4491,208630,2
4453,aapm,2
5741,workplacesafety,2
5744,chronicpainsucks,2
4443,internationalwomensday,2
3448,medicaid,2
3444,offmytits,2
4407,ldn,2
6481,amoxicillin,2
3432,researchreview,2
3428,optimize,2
366,lifescience,2
3426,cncp,2
3425,mpt,2
5780,grandmaswiffer,2
5769,3dprint,2
6487,marketanalysis,2
5767,artist,2
5766,ventart,2
5761,chronicoid,2
3408,pharmabioip,2
3407,mshs,2
6497,twitterrx,2
3401,journalism,2
5754,scicomm,2
374,bringiton,2
6298,heartnews,2
6750,covid_19,2
1517,webdesign,2
2106,invalid,2
827,headsup,2
1032,genitofemoralneuralgia,2
828,wspc2012,2
1708,insurance,2
1707,hospitals,2
1027,newmed,2
8114,nationalpainstrategy,2
2102,efic2015,2
1023,adminforum,2
8118,neurotwitternetwork,2
677,gasclass,2
2105,warner,2
7892,paosspring21,2
1617,transfert,2
1699,pain101,2
2112,altoprev,2
2113,targretin,2
2115,claritin,2
2116,xalkori,2
1692,diphenhydramine,2
1015,crap,2
8126,providers,2
678,wlf,2
679,thelawsonpractice,2
1683,nfl,2
681,aeds,2
2096,medicalnews,2
1037,ic,2
2088,gpcmesouth,2
2086,drugwatch,2
2051,seid,2
7419,testit,2
2053,summer,2
7418,philadelphia,2
2056,caution,2
1735,smmgp14,2
816,a_b,2
766,60,2
2059,pcos,2
2060,spain,2
1328,vigora,2
1329,suhagra,2
1330,avana,2
19,asco,2
7413,cellbiology,2
1336,apoteker,2
819,kindle,2
7409,opiatedetox,2
1337,true,2
1340,завтра,2
7400,disabledbagcontents,2
8102,faais21,2
2079,broken,2
2081,chronicfatiguesyndrome,2
7395,newonline,2
1680,hpmglobal,2
1679,ph2pain,2
1366,vitamincomplex,2
2164,acr15,2
1648,online,2
985,winning,2
1645,top,2
7343,mcas,2
1644,cheapest,2
690,napp,2
2170,asrapain15,2
978,trazadone,2
2176,dying,2
2178,read,2
7338,animation,2
1638,forensictox,2
747,uknews,2
2184,godbless,2
7856,preprints,2
7332,glenmark,2
7855,returntowork,2
745,aids,2
1631,refund,2
2195,turkey,2
574,moodstabilizer,2
1629,sadbuttrue,2
693,multscler,2
694,vioxx,2
7718,asam2021,2
986,signchronicpain,2
2163,lawlists,2
1367,painful,2
1400,security,2
682,vigabatrin,2
1368,bonemetastasis,2
1371,imconf,2
2134,after,2
2135,twenty,2
2136,four,2
760,stonerfam,2
2140,application,2
2141,developer,2
1373,marketsnews,2
1375,bronx,2
1377,post,2
1383,id,2
7877,obanes,2
1665,spms,2
683,visual,2
1663,pharmacytechprobs,2
754,dpn,2
1661,docetaxel,2
1660,basaglar,2
7874,ags21,2
1391,bioscience,2
685,spoonieshateoutsidebecause,2
1393,numbness,2
991,authorcmnt,2
2050,najmsatofficial,2
7420,bunkpolice,2
1738,realestate,2
1174,kneesurgery,2
1167,exhausted,2
1166,trade,2
7506,270,2
1219,vzv,2
1922,mims,2
631,armynews,2
7975,staffordshiregoldbeer,2
1928,painmednews,2
630,usarmy,2
7974,zoromorph,2
1933,drugnews,2
1935,defects,2
1936,illegal,2
1828,flash,2
1158,ddw13,2
1228,bpi,2
625,army,2
1943,sopravvivereinps,2
1824,pregabalingabaanalog,2
1945,gabepentin,2
8026,aaem21,2
622,yyc,2
1153,brsconference,2
1951,englishinmurcia,2
1820,apis,2
7559,brachialplexusinjury,2
1176,helpless,2
1238,shitweasel,2
1177,killmenow,2
7535,catmedication,2
1871,chitchat,2
1870,dunfermline,2
7992,olderadults,2
1869,actavis,2
7996,talkingaboutit,2
1868,morocco,2
645,peripheral,2
1865,medicaldevice,2
7530,somnmpcpd,2
7529,nmppu,2
7539,cathealth,2
7540,felinehealth,2
641,redmondo,2
1893,hpm15,2
1859,backpainmd,2
1898,skinnylabels,2
7520,dizzy,2
1857,memoryloss,2
1900,prudentprescribing,2
1855,medicateamovie,2
1903,patientsinpain,2
1845,painsucks,2
1913,baby,2
1841,calciuminflux,2
1954,strong,2
1956,bsmc26,2
1739,highbloodpressure,2
613,salud,2
1772,fsi,2
1305,dead,2
2013,marketdata,2
1307,benzowithdrawal,2
2014,forecast,2
1764,my,2
1094,health_news,2
2017,healthinsurance,2
1312,pill_book,2
767,yay,2
1315,pei,2
1753,hypertension,2
2026,immunetolerance,2
2027,amchelsinki,2
7631,mylife,2
2031,cipralexescitalopram,2
7635,grumpyalert,2
1744,children,2
2038,cdcwhistleblower,2
815,wisewords,2
1743,facepalm,2
7425,ncds,2
1076,hpm13,2
7637,kitchen,2
1740,foaned,2
2004,lmcconf,2
1999,saswr,2
7965,weeklyquizanswer,2
1297,smh,2
781,food,2
1967,cmms,2
1139,potsprobs,2
780,174,2
1253,generalizedanxietydisorder,2
1254,loopy,2
1256,nicotine,2
1132,whistleblower,2
1975,tuesdayinmadrid,2
1130,accountant,2
1263,pharmacyprobs,2
1981,withdrawl,2
774,unbrandeddoctor,2
808,li,2
809,smhcnews,2
1278,shan,2
1790,congestiveheartfailure,2
1283,recoveryleeds,2
1115,aetna,2
7599,lineofduty,2
1785,dent,2
7457,survivor,2
1994,cannabisismedicine,2
1113,tgded,2
1287,roadtorecovery,2
2204,coldturkey,2
1873,pat,2
909,simvastatin,2
701,betterlivingthroughchemistry,2
880,howweedwonthewest,2
7735,drugtreatment,2
1548,ios,2
1549,tech,2
1602,ebooks,2
2252,urgente,2
1502,premarket,2
1571,mynight,2
878,7,2
1531,abasal,2
877,iasp,2
7846,toxac,2
882,film,2
7283,vegan,2
1528,onlinelegalnews,2
2276,braindamage,2
568,fdafail,2
2304,savinglifesbillions,2
569,fmri,2
1563,helsinkiacadmedcent,2
7826,mydogmoreyears,2
2275,nhsoul,2
1527,mesothelioma,2
950,pharmaceutics,2
2250,rackham,2
7736,taperingstrips,2
7311,gamechangers,2
886,magnesium,2
7747,kuwaitnews,2
721,impax,2
1538,powerbuy4you,2
719,healthandfitness,2
7773,asbrs21,2
7746,kuwaittimes,2
1448,uniteblue,2
2289,anesjc,2
1442,bextra,2
7745,moh,2
7754,madinamerica,2
884,entertainment,2
2296,lawsuit,2
851,edition,2
2294,innovation,2
730,needsleep,2
1457,hplc,2
890,casting,2
1438,mlearning,2
883,acting,2
7739,neurosciences,2
936,gabapentin_enacarbil,2
852,formulation,2
939,stocknews,2
7310,rx411,2
2240,apotex,2
1475,phenytoin,2
870,symptoms,2
2264,transplant,2
854,teeth,2
1524,epharma,2
1428,sleepdeprived,2
1558,rcgp,2
2215,teamsuperjunior,2
714,humor,2
955,dilaudid,2
916,instantfollowback,2
2271,rheumatologist,2
7821,cans,2
1424,fibroprobs,2
1423,aura,2
958,percocet,2
2211,vimpat,2
2312,walmart,2
1613,zoster,2
1557,earlyint2014,2
2220,denta,2
711,allergy,2
5881,beinghonest,1
5854,gyncsm,1
7945,danzigspartatwarmachine,1
7810,hypocrite,1
7942,downbad,1
5847,legalizedgenocide,1
5848,gabapentindoesnthelp,1
5849,ledgerlaw,1
5850,vaabuse,1
5851,palativecare,1
7811,paintreatment,1
5853,journalists,1
5887,roxies,1
5855,abouttime,1
6140,iwotch,1
5889,pillpopper,1
5856,opiod,1
7923,asperger,1
115,muscles,1
5886,addicts,1
5858,manitoba,1
7930,prescripbeddrugs,1
7924,psychiatrycpd,1
5890,workedforme,1
6141,digitaltransformation,1
5845,newsmax,1
7948,weigh2health,1
7812,compromised,1
5844,biox4,1
5834,wailofthedoomed,1
5835,twelveyears,1
5836,armageddon,1
5903,age,1
6155,aafs2020,1
5902,gender,1
5901,time,1
7928,seventeensoon,1
7955,oldgirl,1
5900,dontletthemjustkillusoff,1
7954,psychedelics,1
5838,fightaddiction,1
6138,riskbenefit,1
7953,ottawaproud,1
7952,worklifebalance,1
5840,sport,1
5899,auldbugger,1
7951,helpcurems,1
6154,nmsataafs,1
7950,myomectomy,1
7949,ketodiet,1
5888,oxy,1
5898,catarthritis,1
6139,unintendedconsequences,1
5843,popular,1
6142,lovemydog,1
7941,bipolar1,1
5880,asthma,1
7925,fallingdownahillslowly,1
7931,prescribeddrugs,1
5896,trans,1
5895,agingwell,1
6148,savethedate,1
6147,junkieproblems,1
5891,glutamate,1
114,omgstacks,1
5833,fdawarning,1
5892,calcium,1
5894,recalls,1
5872,rti,1
5893,onhealth,1
7936,kratomcz,1
5873,functionality,1
7935,kratommexsico,1
7934,kavabars,1
5875,plasticsurgery,1
5883,olanzapine,1
5876,painandpsa,1
5877,garbage,1
5878,osu,1
5879,abandoningcpps,1
6146,chronicdepression,1
7932,buykratom,1
7933,kavakava,1
6144,chronicpaincondition,1
7817,petmedsavings,1
7938,happierandhealthy,1
7926,goldengirl,1
6153,breakfast,1
5859,victoriageneralhospital,1
6145,rainpain,1
5860,stocktowatch,1
5885,darktwitter,1
5861,healthwarning,1
5862,battlingopioids,1
7929,mogandavid,1
6143,australiawide,1
7819,tryintogetmytuchuspartystarted,1
7927,dorothy,1
7940,palinopsia,1
7818,nervesofsteel,1
5897,woozycatsoftwitter,1
7813,fiduciaryduty,1
7939,cannabissubstitutionprogram,1
5864,chiro1st,1
5865,jacksonville,1
7814,rapsheet,1
5866,qualitystreet,1
5867,breathingdifficulties,1
7815,benzodiazepinewithdrawal,1
7816,americanpsychiatricassociation,1
5868,riskfactors,1
7937,memorialday2021,1
117,kneepain,1
7809,notyourguineapig,1
5778,small,1
7983,cantstopwontstop,1
7984,blackcatsofinstagram,1
5781,predsomnia,1
7985,kaiserpermanente,1
